time_s,uav_id,cluster_id,payload_plaintext,encrypted_bytes,tek_version
5.0,0,0,UAV0|CLU0|T5.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,1,0,UAV1|CLU0|T5.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,2,0,UAV2|CLU0|T5.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,3,0,UAV3|CLU0|T5.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,4,0,UAV4|CLU0|T5.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,5,0,UAV5|CLU0|T5.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,6,0,UAV6|CLU0|T5.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,7,0,UAV7|CLU0|T5.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,8,0,UAV8|CLU0|T5.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,9,0,UAV9|CLU0|T5.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,10,1,UAV10|CLU1|T5.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,11,1,UAV11|CLU1|T5.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,12,1,UAV12|CLU1|T5.0|ALT140.0|SPD18.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,13,1,UAV13|CLU1|T5.0|ALT145.0|SPD18.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,14,1,UAV14|CLU1|T5.0|ALT150.0|SPD19.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,15,1,UAV15|CLU1|T5.0|ALT155.0|SPD19.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,16,1,UAV16|CLU1|T5.0|ALT160.0|SPD20.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,17,1,UAV17|CLU1|T5.0|ALT165.0|SPD20.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,18,1,UAV18|CLU1|T5.0|ALT170.0|SPD21.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,19,1,UAV19|CLU1|T5.0|ALT175.0|SPD21.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,20,2,UAV20|CLU2|T5.0|ALT180.0|SPD22.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,21,2,UAV21|CLU2|T5.0|ALT185.0|SPD22.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,22,2,UAV22|CLU2|T5.0|ALT190.0|SPD23.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,23,2,UAV23|CLU2|T5.0|ALT195.0|SPD23.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,24,2,UAV24|CLU2|T5.0|ALT200.0|SPD24.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,25,2,UAV25|CLU2|T5.0|ALT205.0|SPD24.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,26,2,UAV26|CLU2|T5.0|ALT210.0|SPD25.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,27,2,UAV27|CLU2|T5.0|ALT215.0|SPD25.5|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,28,2,UAV28|CLU2|T5.0|ALT220.0|SPD26.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,29,2,UAV29|CLU2|T5.0|ALT225.0|SPD26.5|STATUS:OK|CRT-GCRT-SECURED,103,1
35.0,0,0,UAV0|CLU0|T35.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,1,0,UAV1|CLU0|T35.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,2,0,UAV2|CLU0|T35.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,3,0,UAV3|CLU0|T35.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,4,0,UAV4|CLU0|T35.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,5,0,UAV5|CLU0|T35.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,6,0,UAV6|CLU0|T35.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,7,0,UAV7|CLU0|T35.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,8,0,UAV8|CLU0|T35.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,9,0,UAV9|CLU0|T35.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,10,1,UAV10|CLU1|T35.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,11,1,UAV11|CLU1|T35.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,12,1,UAV12|CLU1|T35.0|ALT140.0|SPD18.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,13,1,UAV13|CLU1|T35.0|ALT145.0|SPD18.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,14,1,UAV14|CLU1|T35.0|ALT150.0|SPD19.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,15,1,UAV15|CLU1|T35.0|ALT155.0|SPD19.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,16,1,UAV16|CLU1|T35.0|ALT160.0|SPD20.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,17,1,UAV17|CLU1|T35.0|ALT165.0|SPD20.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,18,1,UAV18|CLU1|T35.0|ALT170.0|SPD21.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,19,1,UAV19|CLU1|T35.0|ALT175.0|SPD21.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,20,2,UAV20|CLU2|T35.0|ALT180.0|SPD22.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,21,2,UAV21|CLU2|T35.0|ALT185.0|SPD22.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,22,2,UAV22|CLU2|T35.0|ALT190.0|SPD23.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,23,2,UAV23|CLU2|T35.0|ALT195.0|SPD23.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,24,2,UAV24|CLU2|T35.0|ALT200.0|SPD24.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,25,2,UAV25|CLU2|T35.0|ALT205.0|SPD24.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,26,2,UAV26|CLU2|T35.0|ALT210.0|SPD25.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,27,2,UAV27|CLU2|T35.0|ALT215.0|SPD25.5|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,28,2,UAV28|CLU2|T35.0|ALT220.0|SPD26.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,29,2,UAV29|CLU2|T35.0|ALT225.0|SPD26.5|STATUS:OK|CRT-GCRT-SECURED,104,2
