time_s,uav_id,cluster_id,payload_plaintext,encrypted_bytes,tek_version
545.0,3,0,UAV3|CLU0|T545.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,59
545.0,4,1,UAV4|CLU1|T545.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,59
545.0,5,1,UAV5|CLU1|T545.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,59
545.0,6,1,UAV6|CLU1|T545.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,59
545.0,7,1,UAV7|CLU1|T545.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,59
545.0,8,2,UAV8|CLU2|T545.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,59
545.0,9,2,UAV9|CLU2|T545.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,59
545.0,10,2,UAV10|CLU2|T545.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,59
545.0,11,2,UAV11|CLU2|T545.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,59
575.0,0,0,UAV0|CLU0|T575.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,1,0,UAV1|CLU0|T575.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,2,0,UAV2|CLU0|T575.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,3,0,UAV3|CLU0|T575.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,61
575.0,4,1,UAV4|CLU1|T575.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,5,1,UAV5|CLU1|T575.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,6,1,UAV6|CLU1|T575.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,7,1,UAV7|CLU1|T575.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,8,2,UAV8|CLU2|T575.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,9,2,UAV9|CLU2|T575.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,61
575.0,10,2,UAV10|CLU2|T575.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,61
575.0,11,2,UAV11|CLU2|T575.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,61
