time_s,cluster_id,trigger,latency_ms,tek_version
25,0,LEAVE,0.05,2
40,0,LEAVE,0.05,3
50,0,COMPROMISE,0.08,4
55,0,LEAVE,0.05,5
60,0,BATCH,0.04,6
60,1,BATCH,0.04,7
60,2,BATCH,0.04,8
70,1,LEAVE,0.05,9
80,0,HANDOVER_OLD,0.06,10
80,1,HANDOVER_NEW,0.06,11
85,1,LEAVE,0.05,12
100,1,LEAVE,0.05,13
115,1,LEAVE,0.05,14
120,0,COMPROMISE,0.08,15
130,2,LEAVE,0.05,16
130,0,BATCH,0.04,17
130,1,BATCH,0.04,18
130,2,BATCH,0.04,19
145,2,LEAVE,0.05,20
160,2,LEAVE,0.05,21
175,2,LEAVE,0.05,22
190,0,LEAVE,0.05,23
200,0,COMPROMISE,0.08,24
205,0,LEAVE,0.05,25
210,0,BATCH,0.04,26
210,1,BATCH,0.04,27
210,2,BATCH,0.04,28
220,0,LEAVE,0.05,29
235,0,LEAVE,0.05,30
250,1,LEAVE,0.05,31
265,1,LEAVE,0.05,32
280,1,LEAVE,0.05,33
295,1,LEAVE,0.05,34
300,0,BATCH,0.04,35
300,1,BATCH,0.04,36
300,2,BATCH,0.04,37
310,2,LEAVE,0.05,38
325,2,LEAVE,0.05,39
340,2,LEAVE,0.05,40
355,2,LEAVE,0.05,41
370,0,LEAVE,0.05,42
385,0,LEAVE,0.05,43
400,0,LEAVE,0.05,44
400,0,BATCH,0.04,45
400,1,BATCH,0.04,46
400,2,BATCH,0.04,47
415,0,LEAVE,0.05,48
430,1,LEAVE,0.05,49
445,1,LEAVE,0.05,50
460,1,LEAVE,0.05,51
475,1,LEAVE,0.05,52
490,2,LEAVE,0.05,53
500,0,BATCH,0.04,54
500,1,BATCH,0.04,55
500,2,BATCH,0.04,56
505,2,LEAVE,0.05,57
520,2,LEAVE,0.05,58
535,2,LEAVE,0.05,59
550,0,LEAVE,0.05,60
565,0,LEAVE,0.05,61
580,0,LEAVE,0.05,62
